,purchase_date,item_name,item_price,customer_name,purchase_month
2973,2019-07-13 21:38:00,상품A,100.0,김태윤,201907
14,2019-06-11 12:57:00,상품A,100.0,김재호,201906
2523,2019-07-02 01:00:00,상품A,100.0,김승환,201907
61,2019-02-11 17:00:00,상품A,100.0,김성윤,201902
2518,2019-03-05 11:16:00,상품A,100.0,김규민,201903
2464,2019-05-30 17:56:00,상품A,100.0,김준우,201905
2868,2019-05-29 08:42:00,상품A,100.0,김재훈,201905
2493,2019-05-31 22:33:00,상품A,100.0,김민찬,201905
9,2019-01-28 10:47:00,상품A,100.0,김태윤,201901
2504,2019-07-10 23:41:00,상품A,100.0,김현서,201907
2431,2019-05-20 03:01:00,상품A,100.0,김우주,201905
4,2019-04-22 03:09:00,상품A,100.0,김강현,201904
2951,2019-05-06 02:24:00,상품A,100.0,김주혁,201905
2753,2019-06-04 01:15:00,상품A,100.0,김이안,201906
2764,2019-06-05 02:25:00,상품A,100.0,김현성,201906
2821,2019-06-21 11:09:00,상품A,100.0,김승훈,201906
2782,2019-06-24 02:56:00,상품A,100.0,김현진,201906
2609,2019-01-13 11:50:00,상품A,100.0,김시율,201901
2636,2019-03-09 14:20:00,상품A,100.0,김우찬,201903
2,2019-05-11 19:42:00,상품A,100.0,김유찬,201905
2886,2019-04-25 17:15:00,상품A,100.0,김강현,201904
2897,2019-05-20 14:05:00,상품A,100.0,김지안,201905
245,2019-06-07 00:03:00,상품B,200.0,김재희,201906
1811,2019-03-15 06:06:00,상품B,200.0,김서윤,201903
1681,2019-06-25 03:12:00,상품B,200.0,김규민,201906
2882,2019-04-18 16:44:00,상품B,200.0,김유빈,201904
241,2019-07-27 09:00:00,상품B,200.0,김현수,201907
2605,2019-01-24 14:52:00,상품B,200.0,김현우,201901
1654,2019-04-15 01:41:00,상품B,200.0,김민호,201904
2632,2019-01-09 05:59:00,상품B,200.0,김승현,201901
390,2019-07-03 18:20:00,상품B,200.0,김민서,201907
927,2019-07-10 14:28:00,상품B,200.0,김준수,201907
931,2019-06-07 06:50:00,상품B,200.0,김재윤,201906
1033,2019-07-16 19:33:00,상품B,200.0,김이안,201907
1698,2019-06-29 02:03:00,상품B,200.0,김승재,201906
941,2019-04-30 07:48:00,상품B,200.0,김서윤,201904
380,2019-03-01 09:53:00,상품B,200.0,김성준,201903
379,2019-04-11 16:38:00,상품B,200.0,김태현,201904
983,2019-01-30 17:24:00,상품B,200.0,김재윤,201901
1709,2019-07-12 15:32:00,상품B,200.0,김주안,201907
2651,2019-07-12 04:58:00,상품B,200.0,김다온,201907
228,2019-03-16 22:28:00,상품B,200.0,김성민,201903
996,2019-03-27 21:16:00,상품B,200.0,김태경,201903
2628,2019-03-26 16:26:00,상품B,200.0,김승현,201903
212,2019-07-28 20:12:00,상품B,200.0,김건희,201907
999,2019-04-11 16:11:00,상품B,200.0,김재민,201904
2398,2019-07-30 17:38:00,상품B,200.0,김상민,201907
1104,2019-02-20 19:32:00,상품B,200.0,김민건,201902
1413,2019-06-11 12:52:00,상품B,200.0,김시완,201906
1407,2019-03-23 23:07:00,상품B,200.0,김지혁,201903
290,2019-05-24 07:01:00,상품B,200.0,김재준,201905
292,2019-05-20 18:00:00,상품B,200.0,김우진,201905
2755,2019-01-29 15:29:00,상품B,200.0,김시완,201901
1209,2019-01-22 03:28:00,상품B,200.0,김민수,201901
2759,2019-01-23 15:23:00,상품B,200.0,김승호,201901
1205,2019-01-16 18:49:00,상품B,200.0,김지한,201901
1365,2019-03-19 22:29:00,상품B,200.0,정준기,201903
330,2019-07-02 20:42:00,상품B,200.0,김승주,201907
1234,2019-07-02 11:03:00,상품B,200.0,김상민,201907
1238,2019-02-26 11:06:00,상품B,200.0,김현우,201902
1264,2019-05-25 07:57:00,상품B,200.0,김지민,201905
321,2019-07-13 22:58:00,상품B,200.0,김동욱,201907
46,2019-02-14 03:26:00,상품B,200.0,김유찬,201902
1312,2019-03-01 03:48:00,상품B,200.0,김승호,201903
42,2019-07-29 00:17:00,상품B,200.0,김지원,201907
285,2019-07-20 22:32:00,상품B,200.0,김도경,201907
2835,2019-05-18 22:59:00,상품B,200.0,김현준,201905
1184,2019-05-31 21:05:00,상품B,200.0,김예성,201905
1601,2019-04-09 05:13:00,상품B,200.0,김은호,201904
2858,2019-04-08 00:10:00,상품B,200.0,김동욱,201904
256,2019-03-09 04:08:00,상품B,200.0,김준희,201903
905,2019-07-17 19:57:00,상품B,200.0,김승준,201907
1140,2019-03-17 00:02:00,상품B,200.0,김준영,201903
1143,2019-02-25 17:44:00,상품B,200.0,김승주,201902
1150,2019-07-08 20:15:00,상품B,200.0,김찬우,201907
1497,2019-06-18 20:34:00,상품B,200.0,김우주,201906
1154,2019-04-17 18:30:00,상품B,200.0,김지운,201904
1156,2019-05-02 15:15:00,상품B,200.0,김예준,201905
1471,2019-05-16 13:20:00,상품B,200.0,김하민,201905
1469,2019-04-11 15:55:00,상품B,200.0,김도윤,201904
2836,2019-03-25 09:43:00,상품B,200.0,김윤재,201903
1172,2019-04-12 01:58:00,상품B,200.0,김지운,201904
1181,2019-02-01 14:49:00,상품B,200.0,김민수,201902
1449,2019-02-24 11:35:00,상품B,200.0,김준성,201902
1183,2019-03-19 08:45:00,상품B,200.0,김현성,201903
1100,2019-03-22 06:07:00,상품B,200.0,김시우,201903
1126,2019-07-13 12:08:00,상품B,200.0,김우현,201907
1787,2019-05-01 21:24:00,상품B,200.0,김서율,201905
890,2019-05-10 06:35:00,상품B,200.0,김준우,201905
2037,2019-07-05 22:16:00,상품B,200.0,김영준,201907
2070,2019-04-16 17:16:00,상품B,200.0,김선우,201904
691,2019-06-28 10:05:00,상품B,200.0,김민호,201906
2086,2019-05-14 00:41:00,상품B,200.0,김유준,201905
671,2019-03-24 03:52:00,상품B,200.0,김다온,201903
652,2019-03-27 19:50:00,상품B,200.0,김도경,201903
895,2019-04-09 16:48:00,상품B,200.0,김지율,201904
2490,2019-06-07 10:22:00,상품B,200.0,김정민,201906
447,2019-04-02 08:45:00,상품B,200.0,김현우,201904
641,2019-01-26 02:03:00,상품B,200.0,김성민,201901
2195,2019-01-20 05:58:00,상품B,200.0,김성현,201901
2203,2019-04-24 14:29:00,상품B,200.0,김주원,201904
628,2019-03-23 11:03:00,상품B,200.0,김준후,201903
457,2019-02-02 14:40:00,상품B,200.0,김예준,201902
768,2019-03-15 22:52:00,상품B,200.0,김태영,201903
459,2019-02-11 08:53:00,상품B,200.0,김현우,201902
2267,2019-02-25 10:35:00,상품B,200.0,김도훈,201902
607,2019-06-22 01:38:00,상품B,200.0,김은호,201906
585,2019-04-25 19:50:00,상품B,200.0,김승윤,201904
2316,2019-05-14 18:09:00,상품B,200.0,김지민,201905
2324,2019-05-17 00:44:00,상품B,200.0,김주환,201905
551,2019-03-02 09:06:00,상품B,200.0,김태윤,201903
2330,2019-06-10 10:27:00,상품B,200.0,김상민,201906
550,2019-02-11 20:42:00,상품B,200.0,김예준,201902
2340,2019-05-28 00:52:00,상품B,200.0,김현준,201905
544,2019-03-13 16:26:00,상품B,200.0,김민석,201903
101,2019-04-15 16:44:00,상품B,200.0,김지호,201904
2359,2019-01-06 19:25:00,상품B,200.0,김승원,201901
2425,2019-06-22 15:33:00,상품B,200.0,김우진,201906
2416,2019-01-04 14:34:00,상품B,200.0,김민기,201901
2266,2019-02-25 07:58:00,상품B,200.0,김도윤,201902
1999,2019-02-17 22:28:00,상품B,200.0,김라온,201902
1307,2019-06-05 07:52:00,상품B,200.0,김준후,201906
2922,2019-04-11 04:02:00,상품B,200.0,김찬영,201904
2930,2019-01-11 07:19:00,상품B,200.0,김현수,201901
799,2019-04-07 07:50:00,상품B,200.0,김우진,201904
1975,2019-07-10 09:51:00,상품B,200.0,김우현,201907
194,2019-03-03 02:06:00,상품B,200.0,김정원,201903
2913,2019-02-11 14:20:00,상품B,200.0,김재민,201902
856,2019-03-31 10:49:00,상품B,200.0,김은율,201903
1980,2019-04-05 11:23:00,상품B,200.0,김하준,201904
1860,2019-02-17 01:46:00,상품B,200.0,김지완,201902
1988,2019-05-21 11:17:00,상품B,200.0,김태우,201905
2565,2019-07-02 07:39:00,상품B,200.0,김정민,201907
1848,2019-07-09 15:27:00,상품B,200.0,김성민,201907
2935,2019-01-20 19:05:00,상품B,200.0,김준호,201901
575,2019-03-02 20:16:00,상품C,300.0,김승현,201903
1206,2019-03-06 09:51:00,상품C,300.0,김민서,201903
852,2019-02-21 04:51:00,상품C,300.0,김현승,201902
1202,2019-01-04 09:03:00,상품C,300.0,김이안,201901
1200,2019-04-23 23:11:00,상품C,300.0,김우영,201904
596,2019-06-30 20:05:00,상품C,300.0,김민석,201906
1188,2019-03-16 01:46:00,상품C,300.0,김민재,201903
917,2019-04-25 12:17:00,상품C,300.0,김윤우,201904
2992,2019-07-27 10:13:00,상품C,300.0,김동하,201907
1294,2019-03-31 23:41:00,상품C,300.0,정영훈,201903
870,2019-07-06 16:39:00,상품C,300.0,김연호,201907
1286,2019-01-30 10:27:00,상품C,300.0,김현수,201901
2818,2019-04-02 15:36:00,상품C,300.0,김은찬,201904
500,2019-07-06 11:04:00,상품C,300.0,김지오,201907
2993,2019-01-25 03:57:00,상품C,300.0,김이안,201901
1271,2019-07-06 08:33:00,상품C,300.0,김민우,201907
505,2019-07-24 10:19:00,상품C,300.0,김재호,201907
2906,2019-02-24 18:54:00,상품C,300.0,김준석,201902
519,2019-01-04 02:25:00,상품C,300.0,김예준,201901
479,2019-04-26 17:10:00,상품C,300.0,김주안,201904
537,2019-07-10 23:10:00,상품C,300.0,김수혁,201907
538,2019-02-15 09:46:00,상품C,300.0,정도형,201902
876,2019-03-12 14:52:00,상품C,300.0,김현수,201903
915,2019-04-09 18:43:00,상품C,300.0,김민혁,201904
466,2019-03-17 07:49:00,상품C,300.0,김태준,201903
528,2019-03-24 12:35:00,상품C,300.0,김지오,201903
597,2019-04-18 14:29:00,상품C,300.0,김지우,201904
1016,2019-01-20 08:18:00,상품C,300.0,김유빈,201901
945,2019-06-02 11:39:00,상품C,300.0,김민석,201906
2872,2019-07-10 05:07:00,상품C,300.0,김예성,201907
724,2019-03-12 20:09:00,상품C,300.0,김시호,201903
782,2019-03-27 11:07:00,상품C,300.0,김민재,201903
1047,2019-05-15 21:50:00,상품C,300.0,김승우,201905
721,2019-02-17 13:42:00,상품C,300.0,김지율,201902
2936,2019-02-26 00:58:00,상품C,300.0,김규민,201902
1071,2019-02-07 02:26:00,상품C,300.0,김도원,201902
2940,2019-07-15 21:21:00,상품C,300.0,김우찬,201907
1090,2019-06-01 02:27:00,상품C,300.0,김지안,201906
2867,2019-07-09 05:42:00,상품C,300.0,김강현,201907
791,2019-01-04 16:02:00,상품C,300.0,김현우,201901
2860,2019-03-16 23:24:00,상품C,300.0,김동우,201903
672,2019-03-07 20:23:00,상품C,300.0,김태인,201903
1112,2019-06-17 19:16:00,상품C,300.0,김지호,201906
2986,2019-03-12 19:34:00,상품C,300.0,김정후,201903
15,2019-04-21 00:11:00,상품C,300.0,김지율,201904
1115,2019-05-15 18:33:00,상품C,300.0,김은율,201905
647,2019-03-02 07:12:00,상품C,300.0,정영훈,201903
827,2019-02-24 01:07:00,상품C,300.0,김현성,201902
640,2019-05-17 10:59:00,상품C,300.0,김승우,201905
994,2019-01-20 17:17:00,상품C,300.0,김지민,201901
828,2019-04-09 23:43:00,상품C,300.0,김라온,201904
629,2019-05-15 21:37:00,상품C,300.0,김동우,201905
453,2019-04-02 20:25:00,상품C,300.0,김태현,201904
1157,2019-03-30 01:13:00,상품C,300.0,김이안,201903
417,2019-04-10 09:05:00,상품C,300.0,김준혁,201904
627,2019-02-10 17:29:00,상품C,300.0,김도윤,201902
837,2019-02-14 02:29:00,상품C,300.0,김준형,201902
1028,2019-05-11 23:23:00,상품C,300.0,김재준,201905
2879,2019-06-09 16:13:00,상품C,300.0,김주혁,201906
1113,2019-05-18 15:43:00,상품C,300.0,김동현,201905
357,2019-01-11 10:43:00,상품C,300.0,김우빈,201901
1363,2019-01-19 15:12:00,상품C,300.0,김성빈,201901
1956,2019-04-12 08:46:00,상품C,300.0,김이준,201904
2038,2019-01-05 17:35:00,상품C,300.0,김수현,201901
183,2019-02-24 11:50:00,상품C,300.0,김지율,201902
2686,2019-02-23 15:54:00,상품C,300.0,김현민,201902
195,2019-07-19 11:50:00,상품C,300.0,김재준,201907
2024,2019-02-27 21:27:00,상품C,300.0,김지원,201902
173,2019-02-13 00:04:00,상품C,300.0,김재훈,201902
250,2019-02-17 11:34:00,상품C,300.0,김대현,201902
1609,2019-02-26 04:55:00,상품C,300.0,김시호,201902
1608,2019-02-12 00:47:00,상품C,300.0,김시환,201902
2460,2019-04-04 09:26:00,상품C,300.0,김경민,201904
1589,2019-07-29 15:09:00,상품C,300.0,김승찬,201907
257,2019-01-20 08:52:00,상품C,300.0,김유진,201901
1582,2019-05-21 18:07:00,상품C,300.0,김서후,201905
2711,2019-06-09 04:56:00,상품C,300.0,김시호,201906
2712,2019-03-19 16:17:00,상품C,300.0,김지안,201903
2461,2019-02-13 00:26:00,상품C,300.0,김준형,201902
1515,2019-01-29 03:34:00,상품C,300.0,김승재,201901
1694,2019-03-23 07:25:00,상품C,300.0,김가온,201903
2235,2019-02-15 12:27:00,상품C,300.0,김현석,201902
2124,2019-04-12 03:48:00,상품C,300.0,김태민,201904
1798,2019-02-08 00:32:00,상품C,300.0,김민우,201902
1783,2019-04-05 08:26:00,상품C,300.0,김유빈,201904
1780,2019-05-16 15:58:00,상품C,300.0,김민찬,201905
1778,2019-03-31 02:36:00,상품C,300.0,김민기,201903
1770,2019-04-26 15:35:00,상품C,300.0,김태영,201904
1306,2019-05-27 15:23:00,상품C,300.0,김지환,201905
1759,2019-01-13 17:44:00,상품C,300.0,김은호,201901
2180,2019-01-16 00:35:00,상품C,300.0,김동현,201901
2192,2019-04-22 11:36:00,상품C,300.0,김도윤,201904
2623,2019-05-20 20:14:00,상품C,300.0,김재민,201905
1850,2019-06-02 07:52:00,상품C,300.0,김시호,201906
222,2019-07-06 07:16:00,상품C,300.0,김태훈,201907
1741,2019-02-13 23:16:00,상품C,300.0,김준석,201902
1726,2019-04-28 05:37:00,상품C,300.0,김규현,201904
144,2019-04-30 17:31:00,상품C,300.0,김도현,201904
2280,2019-05-29 15:51:00,상품C,300.0,김서윤,201905
2587,2019-05-07 10:39:00,상품C,300.0,김서진,201905
1495,2019-01-15 09:28:00,상품C,300.0,김동현,201901
2337,2019-05-17 06:37:00,상품C,300.0,김승환,201905
2726,2019-02-02 23:44:00,상품C,300.0,김재훈,201902
1356,2019-04-23 18:25:00,상품C,300.0,김승준,201904
1996,2019-06-09 05:56:00,상품C,300.0,김준호,201906
2381,2019-02-25 03:45:00,상품C,300.0,김유빈,201902
114,2019-02-12 22:35:00,상품C,300.0,김대현,201902
2329,2019-06-30 18:41:00,상품C,300.0,김선우,201906
1946,2019-01-29 00:54:00,상품C,300.0,김지안,201901
1332,2019-01-25 08:45:00,상품C,300.0,김도경,201901
2420,2019-07-20 08:36:00,상품C,300.0,김현수,201907
2806,2019-06-06 18:44:00,상품C,300.0,김세현,201906
2388,2019-02-23 01:20:00,상품C,300.0,김가온,201902
1308,2019-04-24 01:31:00,상품C,300.0,김수혁,201904
2392,2019-02-02 04:01:00,상품C,300.0,김성훈,201902
1947,2019-03-10 15:49:00,상품C,300.0,김우진,201903
294,2019-07-24 11:26:00,상품C,300.0,김윤서,201907
298,2019-05-14 08:42:00,상품C,300.0,김태준,201905
2533,2019-03-02 14:51:00,상품C,300.0,김지용,201903
1484,2019-05-19 15:46:00,상품C,300.0,김재민,201905
1479,2019-02-11 02:41:00,상품C,300.0,김은호,201902
2291,2019-04-18 15:53:00,상품C,300.0,김우현,201904
1456,2019-04-27 14:10:00,상품C,300.0,김재혁,201904
2292,2019-03-23 00:41:00,상품C,300.0,김서율,201903
2321,2019-04-03 02:29:00,상품C,300.0,김승우,201904
2293,2019-06-12 04:51:00,상품C,300.0,김윤재,201906
1890,2019-04-27 18:18:00,상품C,300.0,김주호,201904
1824,2019-07-30 18:02:00,상품C,300.0,김성우,201907
1442,2019-01-07 13:19:00,상품C,300.0,김승환,201901
1422,2019-07-26 14:59:00,상품C,300.0,김라온,201907
1428,2019-07-18 06:57:00,상품C,300.0,김지오,201907
2301,2019-05-07 15:07:00,상품C,300.0,김지원,201905
2299,2019-01-12 15:57:00,상품C,300.0,김도경,201901
2119,2019-06-04 07:08:00,상품D,400.0,김도영,201906
2091,2019-02-17 00:41:00,상품D,400.0,김지안,201902
731,2019-06-18 21:22:00,상품D,400.0,김태우,201906
2960,2019-02-17 04:24:00,상품D,400.0,김재준,201902
741,2019-03-15 09:19:00,상품D,400.0,김지안,201903
2513,2019-07-12 08:38:00,상품D,400.0,김다온,201907
781,2019-01-07 19:27:00,상품D,400.0,김지완,201901
2502,2019-02-19 11:29:00,상품D,400.0,김민혁,201902
2535,2019-04-20 05:06:00,상품D,400.0,김현우,201904
2068,2019-04-17 20:40:00,상품D,400.0,김재민,201904
2073,2019-01-13 07:54:00,상품D,400.0,김우현,201901
796,2019-04-17 10:34:00,상품D,400.0,김유준,201904
1305,2019-07-06 22:22:00,상품D,400.0,김승민,201907
663,2019-06-01 20:10:00,상품D,400.0,김민건,201906
507,2019-05-31 00:45:00,상품D,400.0,김정현,201905
2424,2019-06-25 11:30:00,상품D,400.0,김찬영,201906
523,2019-02-02 07:17:00,상품D,400.0,김도현,201902
2383,2019-02-27 15:43:00,상품D,400.0,김지율,201902
2361,2019-07-03 02:12:00,상품D,400.0,김민준,201907
2348,2019-07-26 20:35:00,상품D,400.0,김시우,201907
563,2019-04-09 15:56:00,상품D,400.0,김민우,201904
2427,2019-06-22 04:59:00,상품D,400.0,김태윤,201906
2285,2019-05-07 21:19:00,상품D,400.0,김승윤,201905
601,2019-03-28 15:01:00,상품D,400.0,김강현,201903
669,2019-04-25 10:32:00,상품D,400.0,김태민,201904
2435,2019-04-30 16:52:00,상품D,400.0,김동하,201904
2264,2019-03-30 05:49:00,상품D,400.0,김은혁,201903
620,2019-04-04 12:58:00,상품D,400.0,김승찬,201904
626,2019-07-08 16:27:00,상품D,400.0,김현준,201907
2244,2019-01-04 01:48:00,상품D,400.0,김하진,201901
630,2019-05-21 14:30:00,상품D,400.0,김재혁,201905
2210,2019-01-22 00:58:00,상품D,400.0,김동건,201901
2193,2019-01-01 18:11:00,상품D,400.0,김하윤,201901
2961,2019-06-13 23:11:00,상품D,400.0,김연준,201906
2144,2019-04-30 08:39:00,상품D,400.0,김주한,201904
2130,2019-02-16 22:24:00,상품D,400.0,김수민,201902
614,2019-01-29 03:19:00,상품D,400.0,김하윤,201901
2263,2019-01-03 05:14:00,상품D,400.0,김정현,201901
886,2019-02-09 09:06:00,상품D,400.0,김승현,201902
2564,2019-01-23 04:16:00,상품D,400.0,김준후,201901
2688,2019-03-30 01:31:00,상품D,400.0,김윤서,201903
1631,2019-03-26 14:22:00,상품D,400.0,김서진,201903
1630,2019-04-29 18:25:00,상품D,400.0,김주안,201904
1602,2019-06-18 23:17:00,상품D,400.0,김민서,201906
1552,2019-06-25 11:15:00,상품D,400.0,김민규,201906
2714,2019-07-03 03:17:00,상품D,400.0,김우영,201907
2747,2019-07-21 17:36:00,상품D,400.0,김찬영,201907
2840,2019-02-13 13:06:00,상품D,400.0,김예성,201902
1459,2019-06-03 23:20:00,상품D,400.0,김지환,201906
2748,2019-07-07 11:38:00,상품D,400.0,김민혁,201907
1447,2019-04-03 13:16:00,상품D,400.0,김수민,201904
1443,2019-05-20 18:28:00,상품D,400.0,김태경,201905
1185,2019-01-13 04:57:00,상품D,400.0,김현서,201901
1440,2019-03-04 10:26:00,상품D,400.0,김승준,201903
1415,2019-02-02 23:24:00,상품D,400.0,김하진,201902
1410,2019-03-22 00:04:00,상품D,400.0,김지후,201903
2414,2019-03-07 00:47:00,상품D,400.0,김경민,201903
2826,2019-03-14 10:37:00,상품D,400.0,김민우,201903
2824,2019-06-09 00:53:00,상품D,400.0,김민준,201906
1348,2019-02-22 10:35:00,상품D,400.0,김다온,201902
2770,2019-06-30 18:09:00,상품D,400.0,김강현,201906
2803,2019-02-25 00:37:00,상품D,400.0,김도하,201902
1266,2019-05-26 12:11:00,상품D,400.0,김현서,201905
1269,2019-05-22 12:00:00,상품D,400.0,김승준,201905
1339,2019-03-17 05:57:00,상품D,400.0,김승준,201903
1338,2019-03-31 11:35:00,상품D,400.0,김도현,201903
1330,2019-03-31 09:41:00,상품D,400.0,김우찬,201903
