,purchase_date,item_name,item_price,customer_name
1340,2019-06-23 15:15,상품A,100.0,김상현
1320,2019-06-18 1:55,상품A,100.0,김준영
1288,2019-03-02 12:51,상품A,100.0,김지환
1277,2019-05-05 13:12,상품A,100.0,김현우
1273,2019-05-28 17:36,상품A,100.0,김영준
1260,2019-01-15 22:59,상품A,,김하진
1228,2019-01-27 6:10,상품A,100.0,김재민
1217,2019-01-28 17:04,상품A,100.0,김하율
1214,2019-06-20 5:44,상품A,100.0,김윤성
1189,2019-07-16 5:19,상품A,100.0,김현석
1160,2019-01-18 4:12,상품A,100.0,김이준
346,2019-02-09 18:52,상품A,100.0,김은혁
347,2019-03-10 6:42,상품A,100.0,김태우
1111,2019-02-28 20:29,상품A,100.0,김현수
360,2019-05-02 1:45,상품A,100.0,김지호
361,2019-01-21 3:33,상품A,,김진우
363,2019-07-26 3:56,상품A,100.0,김이안
1053,2019-02-26 3:21,상품A,100.0,김현우
1038,2019-04-01 17:58,상품A,100.0,김도하
1036,2019-07-26 15:06,상품A,100.0,김연준
1009,2019-06-12 10:08,상품A,100.0,김지용
957,2019-07-19 14:12,상품A,,김서윤
952,2019-02-12 6:06,상품A,100.0,김태경
900,2019-02-08 18:40,상품A,100.0,김재희
2395,2019-06-21 0:01,상품A,100.0,김주호
488,2019-07-14 17:32,상품A,100.0,김성윤
2598,2019-01-11 11:34,상품A,100.0,김윤호
35,2019-01-12 3:26,상품A,100.0,김건희
2875,2019-06-03 17:33,상품A,100.0,김서진
2669,2019-03-05 20:21,상품A,,김주혁
2682,2019-03-12 2:04,상품A,100.0,김서윤
6,2019-05-18 19:16,상품A,,김재준
2849,2019-04-07 12:34,상품A,100.0,김예찬
2743,2019-06-04 13:52,상품A,100.0,김강현
2732,2019-01-28 22:13,상품A,,김윤호
31,2019-06-29 10:01,상품A,100.0,김하민
2973,2019-07-13 21:38,상품A,100.0,김태윤
14,2019-06-11 12:57,상품A,,김재호
2523,2019-07-02 1:00,상품A,100.0,김승환
61,2019-02-11 17:00,상품A,100.0,김성윤
2518,2019-03-05 11:16,상품A,100.0,김규민
2464,2019-05-30 17:56,상품A,100.0,김준우
2868,2019-05-29 8:42,상품A,100.0,김재훈
2493,2019-05-31 22:33,상품A,100.0,김민찬
9,2019-01-28 10:47,상품A,100.0,김태윤
2504,2019-07-10 23:41,상품A,100.0,김현서
2431,2019-05-20 3:01,상품A,100.0,김우주
4,2019-04-22 3:09,상품A,,김강현
2951,2019-05-06 2:24,상품A,100.0,김주혁
2753,2019-06-04 1:15,상품A,100.0,김이안
2764,2019-06-05 2:25,상품A,100.0,김현성
2821,2019-06-21 11:09,상품A,,김승훈
2782,2019-06-24 2:56,상품A,100.0,김현진
2609,2019-01-13 11:50,상품A,100.0,김시율
2636,2019-03-09 14:20,상품A,,김우찬
2,2019-05-11 19:42,상품A,,김유찬
2886,2019-04-25 17:15,상품A,100.0,김강현
2897,2019-05-20 14:05,상품A,100.0,김지안
245,2019-06-07 0:03,상품B,200.0,김재희
1811,2019-03-15 6:06,상품B,200.0,김서윤
1681,2019-06-25 3:12,상품B,200.0,김규민
2882,2019-04-18 16:44,상품B,,김유빈
241,2019-07-27 9:00,상품B,,김현수
2605,2019-01-24 14:52,상품B,200.0,김현우
1654,2019-04-15 1:41,상품B,,김민호
2632,2019-01-09 5:59,상품B,200.0,김승현
390,2019-07-03 18:20,상품B,200.0,김민서
927,2019-07-10 14:28,상품B,200.0,김준수
931,2019-06-07 6:50,상품B,200.0,김재윤
1033,2019-07-16 19:33,상품B,200.0,김이안
1698,2019-06-29 2:03,상품B,200.0,김승재
941,2019-04-30 7:48,상품B,200.0,김서윤
380,2019-03-01 9:53,상품B,200.0,김성준
379,2019-04-11 16:38,상품B,200.0,김태현
983,2019-01-30 17:24,상품B,,김재윤
1709,2019-07-12 15:32,상품B,200.0,김주안
2651,2019-07-12 4:58,상품B,200.0,김다온
228,2019-03-16 22:28,상품B,200.0,김성민
996,2019-03-27 21:16,상품B,200.0,김태경
2628,2019-03-26 16:26,상품B,200.0,김승현
212,2019-07-28 20:12,상품B,200.0,김건희
999,2019-04-11 16:11,상품B,200.0,김재민
2398,2019-07-30 17:38,상품B,,김상민
1104,2019-02-20 19:32,상품B,200.0,김민건
1413,2019-06-11 12:52,상품B,200.0,김시완
1407,2019-03-23 23:07,상품B,200.0,김지혁
290,2019-05-24 7:01,상품B,200.0,김재준
292,2019-05-20 18:00,상품B,200.0,김우진
2755,2019-01-29 15:29,상품B,,김시완
1209,2019-01-22 3:28,상품B,200.0,김민수
2759,2019-01-23 15:23,상품B,,김승호
1205,2019-01-16 18:49,상품B,200.0,김지한
1365,2019-03-19 22:29,상품B,200.0,정준기
330,2019-07-02 20:42,상품B,200.0,김승주
1234,2019-07-02 11:03,상품B,200.0,김상민
1238,2019-02-26 11:06,상품B,200.0,김현우
1264,2019-05-25 7:57,상품B,200.0,김지민
321,2019-07-13 22:58,상품B,200.0,김동욱
46,2019-02-14 3:26,상품B,200.0,김유찬
1312,2019-03-01 3:48,상품B,200.0,김승호
42,2019-07-29 0:17,상품B,200.0,김지원
285,2019-07-20 22:32,상품B,200.0,김도경
2835,2019-05-18 22:59,상품B,200.0,김현준
1184,2019-05-31 21:05,상품B,200.0,김예성
1601,2019-04-09 5:13,상품B,200.0,김은호
2858,2019-04-08 0:10,상품B,200.0,김동욱
256,2019-03-09 4:08,상품B,200.0,김준희
905,2019-07-17 19:57,상품B,200.0,김승준
1140,2019-03-17 0:02,상품B,200.0,김준영
1143,2019-02-25 17:44,상품B,,김승주
1150,2019-07-08 20:15,상품B,200.0,김찬우
1497,2019-06-18 20:34,상품B,200.0,김우주
1154,2019-04-17 18:30,상품B,,김지운
1156,2019-05-02 15:15,상품B,200.0,김예준
1471,2019-05-16 13:20,상품B,200.0,김하민
1469,2019-04-11 15:55,상품B,200.0,김도윤
2836,2019-03-25 9:43,상품B,200.0,김윤재
1172,2019-04-12 1:58,상품B,200.0,김지운
1181,2019-02-01 14:49,상품B,200.0,김민수
1449,2019-02-24 11:35,상품B,200.0,김준성
1183,2019-03-19 8:45,상품B,200.0,김현성
1100,2019-03-22 6:07,상품B,200.0,김시우
1126,2019-07-13 12:08,상품B,200.0,김우현
1787,2019-05-01 21:24,상품B,200.0,김서율
890,2019-05-10 6:35,상품B,200.0,김준우
2037,2019-07-05 22:16,상품B,200.0,김영준
2070,2019-04-16 17:16,상품B,,김선우
691,2019-06-28 10:05,상품B,200.0,김민호
2086,2019-05-14 0:41,상품B,200.0,김유준
671,2019-03-24 3:52,상품B,200.0,김다온
652,2019-03-27 19:50,상품B,200.0,김도경
895,2019-04-09 16:48,상품B,200.0,김지율
2490,2019-06-07 10:22,상품B,200.0,김정민
447,2019-04-02 8:45,상품B,200.0,김현우
641,2019-01-26 2:03,상품B,200.0,김성민
2195,2019-01-20 5:58,상품B,,김성현
2203,2019-04-24 14:29,상품B,200.0,김주원
628,2019-03-23 11:03,상품B,200.0,김준후
457,2019-02-02 14:40,상품B,,김예준
768,2019-03-15 22:52,상품B,200.0,김태영
459,2019-02-11 8:53,상품B,200.0,김현우
2267,2019-02-25 10:35,상품B,200.0,김도훈
607,2019-06-22 1:38,상품B,200.0,김은호
585,2019-04-25 19:50,상품B,,김승윤
2316,2019-05-14 18:09,상품B,200.0,김지민
2324,2019-05-17 0:44,상품B,200.0,김주환
551,2019-03-02 9:06,상품B,200.0,김태윤
2330,2019-06-10 10:27,상품B,200.0,김상민
550,2019-02-11 20:42,상품B,200.0,김예준
2340,2019-05-28 0:52,상품B,200.0,김현준
544,2019-03-13 16:26,상품B,200.0,김민석
101,2019-04-15 16:44,상품B,,김지호
2359,2019-01-06 19:25,상품B,,김승원
2425,2019-06-22 15:33,상품B,200.0,김우진
2416,2019-01-04 14:34,상품B,200.0,김민기
2266,2019-02-25 7:58,상품B,200.0,김도윤
1999,2019-02-17 22:28,상품B,200.0,김라온
1307,2019-06-05 7:52,상품B,200.0,김준후
2922,2019-04-11 4:02,상품B,,김찬영
2930,2019-01-11 7:19,상품B,200.0,김현수
799,2019-04-07 7:50,상품B,,김우진
1975,2019-07-10 9:51,상품B,200.0,김우현
194,2019-03-03 2:06,상품B,200.0,김정원
2913,2019-02-11 14:20,상품B,200.0,김재민
856,2019-03-31 10:49,상품B,200.0,김은율
1980,2019-04-05 11:23,상품B,200.0,김하준
1860,2019-02-17 1:46,상품B,200.0,김지완
1988,2019-05-21 11:17,상품B,,김태우
2565,2019-07-02 7:39,상품B,200.0,김정민
1848,2019-07-09 15:27,상품B,200.0,김성민
2935,2019-01-20 19:05,상품B,200.0,김준호
575,2019-03-02 20:16,상품C,300.0,김승현
1206,2019-03-06 9:51,상품C,300.0,김민서
852,2019-02-21 4:51,상품C,,김현승
1202,2019-01-04 9:03,상품C,300.0,김이안
1200,2019-04-23 23:11,상품C,300.0,김우영
596,2019-06-30 20:05,상품C,300.0,김민석
1188,2019-03-16 1:46,상품C,300.0,김민재
917,2019-04-25 12:17,상품C,300.0,김윤우
2992,2019-07-27 10:13,상품C,,김동하
1294,2019-03-31 23:41,상품C,,정영훈
870,2019-07-06 16:39,상품C,300.0,김연호
1286,2019-01-30 10:27,상품C,300.0,김현수
2818,2019-04-02 15:36,상품C,300.0,김은찬
500,2019-07-06 11:04,상품C,300.0,김지오
2993,2019-01-25 3:57,상품C,300.0,김이안
1271,2019-07-06 8:33,상품C,300.0,김민우
505,2019-07-24 10:19,상품C,300.0,김재호
2906,2019-02-24 18:54,상품C,300.0,김준석
519,2019-01-04 2:25,상품C,300.0,김예준
479,2019-04-26 17:10,상품C,300.0,김주안
537,2019-07-10 23:10,상품C,300.0,김수혁
538,2019-02-15 9:46,상품C,300.0,정도형
876,2019-03-12 14:52,상품C,300.0,김현수
915,2019-04-09 18:43,상품C,300.0,김민혁
466,2019-03-17 7:49,상품C,300.0,김태준
528,2019-03-24 12:35,상품C,300.0,김지오
597,2019-04-18 14:29,상품C,300.0,김지우
1016,2019-01-20 8:18,상품C,300.0,김유빈
945,2019-06-02 11:39,상품C,,김민석
2872,2019-07-10 5:07,상품C,300.0,김예성
724,2019-03-12 20:09,상품C,300.0,김시호
782,2019-03-27 11:07,상품C,300.0,김민재
1047,2019-05-15 21:50,상품C,300.0,김승우
721,2019-02-17 13:42,상품C,,김지율
2936,2019-02-26 0:58,상품C,300.0,김규민
1071,2019-02-07 2:26,상품C,300.0,김도원
2940,2019-07-15 21:21,상품C,300.0,김우찬
1090,2019-06-01 2:27,상품C,300.0,김지안
2867,2019-07-09 5:42,상품C,300.0,김강현
791,2019-01-04 16:02,상품C,300.0,김현우
2860,2019-03-16 23:24,상품C,300.0,김동우
672,2019-03-07 20:23,상품C,,김태인
1112,2019-06-17 19:16,상품C,300.0,김지호
2986,2019-03-12 19:34,상품C,300.0,김정후
15,2019-04-21 0:11,상품C,300.0,김지율
1115,2019-05-15 18:33,상품C,300.0,김은율
647,2019-03-02 7:12,상품C,300.0,정영훈
827,2019-02-24 1:07,상품C,,김현성
640,2019-05-17 10:59,상품C,300.0,김승우
994,2019-01-20 17:17,상품C,300.0,김지민
828,2019-04-09 23:43,상품C,300.0,김라온
629,2019-05-15 21:37,상품C,300.0,김동우
453,2019-04-02 20:25,상품C,300.0,김태현
1157,2019-03-30 1:13,상품C,300.0,김이안
417,2019-04-10 9:05,상품C,,김준혁
627,2019-02-10 17:29,상품C,300.0,김도윤
837,2019-02-14 2:29,상품C,300.0,김준형
1028,2019-05-11 23:23,상품C,300.0,김재준
2879,2019-06-09 16:13,상품C,300.0,김주혁
1113,2019-05-18 15:43,상품C,,김동현
357,2019-01-11 10:43,상품C,300.0,김우빈
1363,2019-01-19 15:12,상품C,300.0,김성빈
1956,2019-04-12 8:46,상품C,300.0,김이준
2038,2019-01-05 17:35,상품C,300.0,김수현
183,2019-02-24 11:50,상품C,300.0,김지율
2686,2019-02-23 15:54,상품C,300.0,김현민
195,2019-07-19 11:50,상품C,300.0,김재준
2024,2019-02-27 21:27,상품C,300.0,김지원
173,2019-02-13 0:04,상품C,300.0,김재훈
250,2019-02-17 11:34,상품C,300.0,김대현
1609,2019-02-26 4:55,상품C,300.0,김시호
1608,2019-02-12 0:47,상품C,300.0,김시환
2460,2019-04-04 9:26,상품C,300.0,김경민
1589,2019-07-29 15:09,상품C,300.0,김승찬
257,2019-01-20 8:52,상품C,300.0,김유진
1582,2019-05-21 18:07,상품C,300.0,김서후
2711,2019-06-09 4:56,상품C,300.0,김시호
2712,2019-03-19 16:17,상품C,300.0,김지안
2461,2019-02-13 0:26,상품C,300.0,김준형
1515,2019-01-29 3:34,상품C,,김승재
1694,2019-03-23 7:25,상품C,300.0,김가온
2235,2019-02-15 12:27,상품C,300.0,김현석
2124,2019-04-12 3:48,상품C,300.0,김태민
1798,2019-02-08 0:32,상품C,300.0,김민우
1783,2019-04-05 8:26,상품C,300.0,김유빈
1780,2019-05-16 15:58,상품C,300.0,김민찬
1778,2019-03-31 2:36,상품C,,김민기
1770,2019-04-26 15:35,상품C,300.0,김태영
1306,2019-05-27 15:23,상품C,300.0,김지환
1759,2019-01-13 17:44,상품C,300.0,김은호
2180,2019-01-16 0:35,상품C,300.0,김동현
2192,2019-04-22 11:36,상품C,300.0,김도윤
2623,2019-05-20 20:14,상품C,300.0,김재민
1850,2019-06-02 7:52,상품C,300.0,김시호
222,2019-07-06 7:16,상품C,300.0,김태훈
1741,2019-02-13 23:16,상품C,300.0,김준석
1726,2019-04-28 5:37,상품C,,김규현
144,2019-04-30 17:31,상품C,,김도현
2280,2019-05-29 15:51,상품C,300.0,김서윤
2587,2019-05-07 10:39,상품C,300.0,김서진
1495,2019-01-15 9:28,상품C,300.0,김동현
2337,2019-05-17 6:37,상품C,300.0,김승환
2726,2019-02-02 23:44,상품C,,김재훈
1356,2019-04-23 18:25,상품C,300.0,김승준
1996,2019-06-09 5:56,상품C,300.0,김준호
2381,2019-02-25 3:45,상품C,,김유빈
114,2019-02-12 22:35,상품C,,김대현
2329,2019-06-30 18:41,상품C,300.0,김선우
1946,2019-01-29 0:54,상품C,300.0,김지안
1332,2019-01-25 8:45,상품C,300.0,김도경
2420,2019-07-20 8:36,상품C,300.0,김현수
2806,2019-06-06 18:44,상품C,300.0,김세현
2388,2019-02-23 1:20,상품C,300.0,김가온
1308,2019-04-24 1:31,상품C,300.0,김수혁
2392,2019-02-02 4:01,상품C,300.0,김성훈
1947,2019-03-10 15:49,상품C,300.0,김우진
294,2019-07-24 11:26,상품C,300.0,김윤서
298,2019-05-14 8:42,상품C,300.0,김태준
2533,2019-03-02 14:51,상품C,300.0,김지용
1484,2019-05-19 15:46,상품C,300.0,김재민
1479,2019-02-11 2:41,상품C,300.0,김은호
2291,2019-04-18 15:53,상품C,300.0,김우현
1456,2019-04-27 14:10,상품C,300.0,김재혁
2292,2019-03-23 0:41,상품C,300.0,김서율
2321,2019-04-03 2:29,상품C,300.0,김승우
2293,2019-06-12 4:51,상품C,,김윤재
1890,2019-04-27 18:18,상품C,,김주호
1824,2019-07-30 18:02,상품C,300.0,김성우
1442,2019-01-07 13:19,상품C,300.0,김승환
1422,2019-07-26 14:59,상품C,,김라온
1428,2019-07-18 6:57,상품C,300.0,김지오
2301,2019-05-07 15:07,상품C,,김지원
2299,2019-01-12 15:57,상품C,300.0,김도경
2119,2019-06-04 7:08,상품D,400.0,김도영
2091,2019-02-17 0:41,상품D,400.0,김지안
731,2019-06-18 21:22,상품D,400.0,김태우
2960,2019-02-17 4:24,상품D,400.0,김재준
741,2019-03-15 9:19,상품D,400.0,김지안
2513,2019-07-12 8:38,상품D,400.0,김다온
781,2019-01-07 19:27,상품D,400.0,김지완
2502,2019-02-19 11:29,상품D,400.0,김민혁
2535,2019-04-20 5:06,상품D,400.0,김현우
2068,2019-04-17 20:40,상품D,400.0,김재민
2073,2019-01-13 7:54,상품D,400.0,김우현
796,2019-04-17 10:34,상품D,400.0,김유준
1305,2019-07-06 22:22,상품D,400.0,김승민
663,2019-06-01 20:10,상품D,400.0,김민건
507,2019-05-31 0:45,상품D,400.0,김정현
2424,2019-06-25 11:30,상품D,400.0,김찬영
523,2019-02-02 7:17,상품D,,김도현
2383,2019-02-27 15:43,상품D,400.0,김지율
2361,2019-07-03 2:12,상품D,400.0,김민준
2348,2019-07-26 20:35,상품D,400.0,김시우
563,2019-04-09 15:56,상품D,400.0,김민우
2427,2019-06-22 4:59,상품D,400.0,김태윤
2285,2019-05-07 21:19,상품D,,김승윤
601,2019-03-28 15:01,상품D,400.0,김강현
669,2019-04-25 10:32,상품D,400.0,김태민
2435,2019-04-30 16:52,상품D,400.0,김동하
2264,2019-03-30 5:49,상품D,400.0,김은혁
620,2019-04-04 12:58,상품D,400.0,김승찬
626,2019-07-08 16:27,상품D,400.0,김현준
2244,2019-01-04 1:48,상품D,400.0,김하진
630,2019-05-21 14:30,상품D,400.0,김재혁
2210,2019-01-22 0:58,상품D,400.0,김동건
2193,2019-01-01 18:11,상품D,400.0,김하윤
2961,2019-06-13 23:11,상품D,400.0,김연준
2144,2019-04-30 8:39,상품D,400.0,김주한
2130,2019-02-16 22:24,상품D,400.0,김수민
614,2019-01-29 3:19,상품D,400.0,김하윤
2263,2019-01-03 5:14,상품D,,김정현
886,2019-02-09 9:06,상품D,400.0,김승현
2564,2019-01-23 4:16,상품D,400.0,김준후
2688,2019-03-30 1:31,상품D,400.0,김윤서
1631,2019-03-26 14:22,상품D,400.0,김서진
1630,2019-04-29 18:25,상품D,,김주안
1602,2019-06-18 23:17,상품D,400.0,김민서
1552,2019-06-25 11:15,상품D,400.0,김민규
2714,2019-07-03 3:17,상품D,,김우영
2747,2019-07-21 17:36,상품D,400.0,김찬영
2840,2019-02-13 13:06,상품D,400.0,김예성
1459,2019-06-03 23:20,상품D,400.0,김지환
2748,2019-07-07 11:38,상품D,400.0,김민혁
1447,2019-04-03 13:16,상품D,400.0,김수민
1443,2019-05-20 18:28,상품D,400.0,김태경
1185,2019-01-13 4:57,상품D,,김현서
1440,2019-03-04 10:26,상품D,400.0,김승준
1415,2019-02-02 23:24,상품D,400.0,김하진
1410,2019-03-22 0:04,상품D,400.0,김지후
2414,2019-03-07 0:47,상품D,400.0,김경민
2826,2019-03-14 10:37,상품D,400.0,김민우
2824,2019-06-09 0:53,상품D,400.0,김민준
1348,2019-02-22 10:35,상품D,400.0,김다온
2770,2019-06-30 18:09,상품D,400.0,김강현
2803,2019-02-25 0:37,상품D,400.0,김도하
1266,2019-05-26 12:11,상품D,400.0,김현서
1269,2019-05-22 12:00,상품D,400.0,김승준
1339,2019-03-17 5:57,상품D,400.0,김승준
1338,2019-03-31 11:35,상품D,400.0,김도현
1330,2019-03-31 9:41,상품D,,김우찬
2808,2019-03-19 6:00,상품D,400.0,김지혁
1303,2019-07-17 13:31,상품D,400.0,김유준
1669,2019-02-24 13:55,상품D,400.0,김도원
2561,2019-01-25 4:12,상품D,400.0,김현우
2685,2019-02-08 21:08,상품D,400.0,김유찬
1695,2019-03-31 12:47,상품D,400.0,김지민
1936,2019-07-01 13:28,상품D,400.0,김정원
1912,2019-03-20 3:49,상품D,400.0,김시환
2580,2019-05-04 11:51,상품D,400.0,김도원
2919,2019-06-24 11:02,상품D,400.0,김지용
1881,2019-06-09 11:38,상품D,,정도형
2916,2019-01-27 19:11,상품D,400.0,김민호
864,2019-04-26 13:34,상품D,400.0,김우빈
865,2019-05-11 10:22,상품D,400.0,김범준
1862,2019-01-28 19:28,상품D,400.0,김태영
2904,2019-04-12 5:41,상품D,400.0,김승호
1851,2019-01-23 12:40,상품D,400.0,김은호
1846,2019-01-17 17:46,상품D,400.0,김지민
1844,2019-01-06 2:09,상품D,400.0,김은혁
894,2019-05-02 2:19,상품D,400.0,김지완
1837,2019-07-16 22:02,상품D,400.0,김찬우
2884,2019-02-22 17:50,상품D,400.0,김지우
1814,2019-02-17 3:05,상품D,400.0,김연준
910,2019-04-29 14:03,상품D,400.0,김상민
918,2019-07-26 4:57,상품D,,김재준
925,2019-05-21 9:45,상품D,400.0,김예찬
1777,2019-02-27 18:54,상품D,400.0,김윤서
2613,2019-07-18 5:34,상품D,400.0,김준석
2877,2019-02-08 19:01,상품D,400.0,김지혁
969,2019-05-20 3:59,상품D,400.0,김성빈
974,2019-02-05 22:18,상품D,400.0,김은율
1743,2019-01-22 0:13,상품D,400.0,김정원
1735,2019-05-27 23:26,상품D,400.0,김주안
2663,2019-06-15 11:35,상품D,400.0,김민수
1696,2019-05-28 2:01,상품D,400.0,김이안
1693,2019-04-14 7:14,상품D,400.0,김은성
1668,2019-04-05 5:29,상품D,400.0,김성준
2998,2019-07-21 0:31,상품D,400.0,정준기
279,2019-06-14 19:39,상품D,400.0,김하율
468,2019-04-20 14:29,상품D,400.0,김준석
73,2019-06-23 14:25,상품D,400.0,김주영
140,2019-07-29 18:23,상품D,400.0,김상현
351,2019-07-25 21:42,상품D,400.0,김다온
476,2019-06-06 12:58,상품D,400.0,김민서
461,2019-05-06 21:59,상품D,400.0,김윤서
441,2019-02-01 13:19,상품D,400.0,김지성
478,2019-02-11 15:51,상품D,400.0,김유진
204,2019-06-25 6:16,상품D,400.0,김지환
163,2019-04-20 1:54,상품D,400.0,김민건
203,2019-01-15 6:22,상품D,400.0,김승우
186,2019-04-18 6:11,상품D,400.0,김준서
475,2019-04-01 13:25,상품D,,김유찬
458,2019-03-22 10:08,상품D,400.0,김대현
385,2019-07-27 21:50,상품D,400.0,김지오
365,2019-03-19 2:02,상품D,400.0,김지오
410,2019-02-25 11:16,상품D,400.0,김정민
56,2019-06-02 5:32,상품D,400.0,김선우
451,2019-04-08 12:50,상품D,400.0,김지호
1717,2019-07-25 6:30,상품E,500.0,김민우
1541,2019-06-29 2:44,상품E,500.0,김민석
407,2019-05-04 13:56,상품E,500.0,김재민
1540,2019-07-17 6:52,상품E,500.0,김지완
1640,2019-04-10 15:59,상품E,500.0,김건희
752,2019-03-08 2:15,상품E,500.0,김은율
402,2019-07-10 20:31,상품E,500.0,김승윤
1901,2019-06-19 8:33,상품E,500.0,김태민
2138,2019-05-06 12:04,상품E,500.0,김시완
444,2019-02-09 3:38,상품E,500.0,김태인
654,2019-02-03 2:15,상품E,500.0,김건우
576,2019-02-04 22:08,상품E,500.0,김민준
762,2019-03-03 2:11,상품E,500.0,김시온
2595,2019-01-16 23:41,상품E,500.0,김이준
2474,2019-03-19 20:34,상품E,500.0,김현준
2362,2019-01-09 13:57,상품E,500.0,김준우
2012,2019-04-15 8:24,상품E,500.0,김도하
904,2019-07-20 17:48,상품E,500.0,김동하
1888,2019-04-06 10:50,상품E,500.0,김성현
875,2019-04-12 6:04,상품E,500.0,김예찬
1914,2019-02-11 15:23,상품E,,김현수
2433,2019-06-12 1:12,상품E,500.0,김재원
157,2019-05-20 3:55,상품E,500.0,김연호
1537,2019-07-06 23:37,상품E,500.0,김은호
180,2019-03-02 15:38,상품E,500.0,김시율
2626,2019-05-08 13:22,상품E,500.0,김도윤
421,2019-05-31 20:07,상품E,500.0,김경민
1672,2019-06-16 17:53,상품E,500.0,김재혁
2621,2019-04-28 13:43,상품E,500.0,김은호
1675,2019-02-24 2:46,상품E,500.0,김승주
2616,2019-03-22 12:50,상품E,500.0,김태훈
1677,2019-01-20 8:56,상품E,,김윤찬
36,2019-07-27 0:08,상품E,500.0,김지율
2705,2019-04-17 11:14,상품E,500.0,김유찬
826,2019-06-28 2:25,상품E,500.0,김서준
2338,2019-05-22 23:30,상품E,500.0,김태민
2941,2019-01-30 1:10,상품E,,김동현
427,2019-06-27 2:49,상품E,500.0,김승후
